"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При нажатии на ингредиент всплывает окно с деталями ингредиента","171","Проверка открытия всплывающего окна с деталями игредиента","tests","Sun Jul 13 17:01:50 GMT+07:00 2025","passed","Sun Jul 13 17:01:50 GMT+07:00 2025","TestMainPage","test_main_page","",""
"При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","6117","Проверка счетчика ""Выполнено за сегодня""","tests","Sun Jul 13 17:02:15 GMT+07:00 2025","passed","Sun Jul 13 17:02:21 GMT+07:00 2025","TestOrderFeedPage","test_order_feed_page","",""
"При нажатии на крестик всплывающее окно с деталями ингредиента закрываеися","220","Проверка закрытия всплывающего окна с деталями игредиента","tests","Sun Jul 13 17:01:53 GMT+07:00 2025","passed","Sun Jul 13 17:01:53 GMT+07:00 2025","TestMainPage","test_main_page","",""
"После оформления заказа его номер появляется в разделе «В работе»","6841","Проверка раздела ""В работе""","tests","Sun Jul 13 17:02:02 GMT+07:00 2025","passed","Sun Jul 13 17:02:09 GMT+07:00 2025","TestOrderFeedPage","test_order_feed_page","",""
"При добавлении ингредиента в заказ счетчик ингредиента увеличивается","74","Проверка увеличения счетчика ингредиента","tests","Sun Jul 13 17:01:56 GMT+07:00 2025","passed","Sun Jul 13 17:01:56 GMT+07:00 2025","TestMainPage","test_main_page","",""
"При нажатии на кнопку Лента заказов открывается страница Лента заказов","78","Проверка перехода по кнопке Лента заказов","tests","Sun Jul 13 17:01:44 GMT+07:00 2025","passed","Sun Jul 13 17:01:44 GMT+07:00 2025","TestMainPage","test_main_page","",""
"При нажатии на кнопку Конструктор открывается главная страница с онструктором заказов","156","Проверка перехода по кнопке Конструктор","tests","Sun Jul 13 17:01:47 GMT+07:00 2025","passed","Sun Jul 13 17:01:47 GMT+07:00 2025","TestMainPage","test_main_page","",""
